method,dimension,group,qos_pct,throughput_mbps,delay_ms
Heuristic,cell,Urban,71.3,18.517,16.501
Heuristic,cell,Commercial,73.1,19.123,14.302
Heuristic,cell,School,75.8,19.209,14.049
Heuristic,cell,Avg,73.4,18.976,15.038
Heuristic,traffic,eMBB,71.0,18.513,16.241
Heuristic,traffic,URLLC,73.2,10.108,6.102
Heuristic,traffic,mMTC,76.0,5.498,12.003
Heuristic,traffic,Avg,73.4,11.373,11.448
DRL,cell,Urban,86.5,21.145,12.678
DRL,cell,Commercial,86.2,22.143,11.356
DRL,cell,School,86.1,22.896,11.036
DRL,cell,Avg,86.3,22.728,11.426
DRL,traffic,eMBB,86.2,20.504,14.507
DRL,traffic,URLLC,87.5,10.204,5.001
DRL,traffic,mMTC,85.2,5.801,10.205
DRL,traffic,Avg,86.3,12.836,9.904
FDRL,cell,Urban,82.5,20.089,13.567
FDRL,cell,Commercial,82.6,21.231,12.995
FDRL,cell,School,83.1,21.612,12.823
FDRL,cell,Avg,82.7,21.480,13.244
FDRL,traffic,eMBB,83.2,19.003,15.503
FDRL,traffic,URLLC,82.2,10.001,5.504
FDRL,traffic,mMTC,82.8,5.603,10.801
FDRL,traffic,Avg,82.7,11.536,10.603
CFDRL,cell,Urban,86.9,21.467,13.004
CFDRL,cell,Commercial,86.6,22.597,11.432
CFDRL,cell,School,87.0,22.852,11.197
CFDRL,cell,Avg,86.8,22.305,11.997
CFDRL,traffic,eMBB,87.3,20.801,14.203
CFDRL,traffic,URLLC,86.4,10.502,4.902
CFDRL,traffic,mMTC,86.8,6.101,9.803
CFDRL,traffic,Avg,86.8,12.468,9.636
TFL-CORAN,cell,Urban,87.7,23.001,10.301
TFL-CORAN,cell,Commercial,87.5,23.009,10.247
TFL-CORAN,cell,School,88.0,23.426,10.163
TFL-CORAN,cell,Avg,87.7,23.290,10.237
TFL-CORAN,traffic,eMBB,88.5,23.001,11.002
TFL-CORAN,traffic,URLLC,87.0,11.003,4.804
TFL-CORAN,traffic,mMTC,87.5,6.203,9.502
TFL-CORAN,traffic,Avg,87.7,13.402,8.436
